rt_score,Genre_1,Genre_2,Genre_3,imdb_rating,length,rating,studio,title,year
5.2,Sci-Fi,Adventure,Action,6.6,151,PG-13,Touchstone Pictures,Armageddon,1998
5.8,Sci-Fi,Drama,Action,6.1,120,PG-13,DreamWorks Pictures / Paramount Pictures,Deep Impact,1998
5.3,Fantasy,Family,Comedy,5.3,85,PG-13,20th Century Fox,Dr. Dolittle,1998
4,Thriller,Sci-Fi,Action,5.3,139,PG-13,TriStar Pictures,Godzilla,1998
5.8,Thriller,Crime,Action,6.6,127,R,Warner Bros.,Lethal Weapon 4,1998
7.5,Family,Animation,Adventure,7.5,88,G,Walt Disney Pictures,Mulan,1998
8.6,War,Drama,Action,8.6,169,R,DreamWorks Pictures / Paramount Pictures,Saving Private Ryan,1998
8.3,Romance,Drama,Comedy,7.2,123,R,Miramax Films / Universal Pictures,Shakespeare in Love,1998
7,Romance,Comedy,,7.1,119,R,20th Century Fox,There's Something About Mary,1998
7,Drama,Adventure,Action,6.4,124,R,Columbia Pictures,Air Force One,1997
7.2,Romance,Drama,Comedy,7.8,139,PG-13,TriStar Pictures,As Good as It Gets,1997
6.9,Comedy,,,6.8,86,PG-13,Universal Pictures,Liar Liar,1997
7.5,Sci-Fi,Comedy,,7.2,98,PG-13,Columbia Pictures,Men in Black,1997
6.4,Romance,Comedy,,6.3,105,PG-13,TriStar Pictures,My Best Friend's Wedding,1997
6.3,Sci-Fi,Adventure,Action,7.6,126,PG-13,Columbia Pictures,The Fifth Element,1997
7.6,Music,Drama,Comedy,7.2,91,R,Fox Searchlight Pictures,The Full Monty,1997
5.6,Sci-Fi,Adventure,Action,6.5,129,PG-13,Universal Pictures,The Lost World: Jurassic Park,1997
8,Romance,Drama,,7.7,194,PG-13,Paramount Pictures / 20th Century Fox,Titanic,1997
6,Thriller,Adventure,Action,6.5,119,PG-13,United Artists,Tomorrow Never Dies,1997
5.3,Family,Comedy,Adventure,5.6,103,G,Walt Disney Pictures,101 Dalmatians,1996
4.9,Mystery,Drama,Action,6,115,R,Warner Bros.,Eraser,1996
6.3,Sci-Fi,Adventure,Action,6.9,145,PG-13,20th Century Fox,Independence Day,1996
7.4,Romance,Drama,Comedy,7.3,139,R,TriStar Pictures,Jerry Maguire,1996
5.9,Thriller,Adventure,Action,7.1,110,PG-13,Paramount Pictures,Mission: Impossible,1996
6.6,Thriller,Crime,,6.6,121,R,Touchstone Pictures / Imagine Entertainment,Ransom,1996
7.1,Family,Drama,Animation,6.9,91,G,Walt Disney Pictures,The Hunchback of Notre Dame,1996
5.9,Sci-Fi,Romance,Comedy,5.5,95,PG-13,Universal Pictures,The Nutty Professor,1996
6.6,Thriller,Adventure,Action,7.4,136,R,Hollywood Pictures,The Rock,1996
6,Drama,Adventure,Action,6.2,113,PG-13,Warner Bros. / Universal Pictures,Twister,1996
8.1,History,Drama,Adventure,7.6,140,PG,Universal Pictures / Imagine Entertainment,Apollo 13,1995
5.2,Fantasy,Adventure,Action,5.4,121,PG-13,Warner Bros. / PolyGram,Batman Forever,1995
4.8,Fantasy,Family,Comedy,6,100,PG,Universal Pictures,Casper,1995
5.7,Thriller,Adventure,Action,7.6,131,R,20th Century Fox / Cinergi Pictures,Die Hard with a Vengeance,1995
6.9,Thriller,Adventure,Action,7.2,130,PG-13,United Artists,GoldenEye,1995
